type,breed,color,sex,size,animal_id,intake_date,outcome_date,days_in_shelter,intake_type,intake_subtype,outcome_type,outcome_subtype,intake_condition,outcome_condition,intake_jurisdiction,outcome_jurisdiction,outcome_zip_code,location,age
CAT,DOMESTIC MH,BRN TABBY/WHITE,Neutered,SMALL,A406878,09/23/2021,10/15/2021,22,STRAY,PHONE,ADOPTION,SCAS WEB,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95407.0,"95407(38.4127094, -122.7412153)",4
DOG,LHASA APSO,WHITE/GRAY,Neutered,SMALL,A365385,12/08/2017,12/23/2017,15,STRAY,FIELD,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95407.0,"95407(38.4127094, -122.7412153)",9
DOG,LABRADOR RETR,WHITE,Male,LARGE,A413832,10/22/2022,10/25/2022,3,STRAY,FIELD,RETURN TO OWNER,OVER THE COUNTER_WEB,UNKNOWN,PENDING,COUNTY,*SEBASTOPOL,95472.0,"95472(38.4007555, -122.8277055)",7
CAT,DOMESTIC SH,WHITE,Neutered,SMALL,A326449,08/29/2015,09/03/2015,5,CONFISCATE,FLD_CRUEL,RETURN TO OWNER,OVER THE COUNTER_NOTICE,HEALTHY,HEALTHY,COUNTY,COUNTY,95450.0,"95450(38.5432948, -123.2789977)",13
DOG,PUG/BOSTON TERRIER,BROWN,Spayed,MED,A311457,12/12/2014,12/12/2014,0,STRAY,FIELD,RETURN TO OWNER,OVER THE COUNTER_PRVS,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95403.0,"95403(38.4716444, -122.7398255)",11
CAT,DOMESTIC SH,BRN TABBY,Spayed,KITTN,A347029,01/10/2017,01/24/2017,14,STRAY,OVER THE COUNTER,ADOPTION,INTERNET,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95405.0,"95405(38.443415, -122.69178)",8
DOG,SCHNAUZER MIN/MIX,BLACK/BROWN,Female,PUPPY,A414810,01/09/2023,01/18/2023,9,STRAY,FIELD,TRANSFER,PETSLIFELN,UNKNOWN,HEALTHY,COUNTY,COUNTY,95476.0,"95476(38.288405, -122.464525)",2
DOG,RHOD RIDGEBACK/ROTTWEILER,BLACK/TAN,Male,MED,A389255,11/19/2019,11/19/2019,0,STRAY,FIELD,RETURN TO OWNER,OVER THE COUNTER_PRVS,UNKNOWN,PENDING,COUNTY,COUNTY,94951.0,"94951(38.294195, -122.670365)",6
DOG,GERM SHEPHERD/WELSH CORGI CAR,BLACK/TAN,Spayed,SMALL,A404972,09/16/2017,09/19/2017,3,STRAY,OVER THE COUNTER,RETURN TO OWNER,OVER THE COUNTER_MCHIP,UNKNOWN,HEALTHY,COUNTY,SANTA ROSA,95401.0,"95401(38.44366, -122.7246163)",8
DOG,PIT BULL,BLACK/WHITE,Neutered,LARGE,A283779,11/17/2016,11/29/2016,12,STRAY,OVER THE COUNTER,RETURN TO OWNER,OVER THE COUNTER_MCHIP,HEALTHY,HEALTHY,SANTA ROSA,COUNTY,95407.0,"95407(38.4127094, -122.7412153)",12
CAT,DOMESTIC SH,ORG TABBY,Male,KITTN,A405567,06/24/2021,07/08/2021,14,STRAY,PHONE,TRANSFER,HSSC,UNKNOWN,TREATABLE/REHAB,COUNTY,COUNTY,95407.0,"95407(38.4127094, -122.7412153)",3
DOG,BOXER,FAWN,Spayed,MED,A312678,05/24/2016,06/08/2016,15,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,SANTA ROSA,95407.0,"95407(38.4127094, -122.7412153)",16
DOG,CHIHUAHUA SH,BLACK,Spayed,TOY,A335428,04/09/2016,04/30/2016,21,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,INTERNET,HEALTHY,HEALTHY,COUNTY,*SEBASTOPOL,95472.0,"95472(38.4007555, -122.8277055)",15
CAT,DOMESTIC SH,BLACK,Unknown,KITTN,A400780,10/04/2020,10/04/2020,0,STRAY,FIELD,TRANSFER,HSSC,UNKNOWN,TREATABLE/REHAB,COUNTY,COUNTY,95407.0,"95407(38.4127094, -122.7412153)",4
DOG,AUST CATTLE DOG/MIX,RED/WHITE,Spayed,MED,A323026,06/17/2015,07/02/2015,15,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,*WINDSOR,95492.0,"95492(38.541355, -122.80026)",10
CAT,DOMESTIC SH,GRAY TABBY/WHITE,Spayed,KITTN,A390385,09/28/2019,10/01/2019,3,ADOPTION RETURN,OVER THE COUNTER,ADOPTION,SCAS WEB,HEALTHY,HEALTHY,*WINDSOR,*WINDSOR,95492.0,"95492(38.541355, -122.80026)",5
DOG,CHIHUAHUA SH/MIX,TAN,Spayed,SMALL,A377962,10/17/2018,10/19/2018,2,STRAY,FIELD,RETURN TO OWNER,OVER THE COUNTER_WEB,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95404.0,"95404(38.44511, -122.708)",7
DOG,PARSON RUSS TER/MIX,BROWN,Neutered,MED,A312509,04/07/2014,04/08/2014,1,CONFISCATE,FLD_ARREST,RETURN TO OWNER,RETURN TO OWNER,HEALTHY,HEALTHY,COUNTY,COUNTY,95472.0,"95472(38.4007555, -122.8277055)",14
DOG,GERM SHEPHERD,BLACK/BROWN,Neutered,LARGE,A304630,09/13/2015,09/22/2015,9,QUARANTINE,FIELD_RETURN TO OWNER,RETURN TO OWNER,FLD_PRVS,HEALTHY,HEALTHY,COUNTY,COUNTY,95407.0,"95407(38.4127094, -122.7412153)",11
DOG,GERM SHEPHERD/AUST CATTLE DOG,BLACK/BROWN,Male,SMALL,A410240,02/24/2022,04/23/2022,58,OWNER SURRENDER,OVER THE COUNTER,TRANSFER,RP SHELTER,UNKNOWN,PENDING,SANTA ROSA,*ROHNERT PARK,94928.0,"94928(38.3499842, -122.6928413)",3
DOG,ROTTWEILER,BLACK/BROWN,Male,LARGE,A402735,03/03/2021,03/03/2021,0,STRAY,FIELD,RETURN TO OWNER,OVER THE COUNTER_WEB,UNKNOWN,PENDING,SANTA ROSA,SANTA ROSA,95403.0,"95403(38.4716444, -122.7398255)",5
CAT,ABYSSINIAN,AGOUTI,Unknown,KITTN,A405592,06/25/2021,06/25/2021,0,STRAY,OVER THE COUNTER,TRANSFER,PETLUMA PP,UNKNOWN,PENDING,SANTA ROSA,*PETALUMA,94952.0,"94952(38.237, -122.640695)",3
CAT,DOMESTIC MH,BRN TABBY/WHITE,Spayed,KITTN,A322742,06/06/2015,07/24/2015,48,STRAY,COMM CAT,ADOPTION,REFERRAL,HEALTHY,HEALTHY,COUNTY,*ROHNERT PARK,94928.0,"94928(38.3499842, -122.6928413)",9
DOG,LABRADOR RETR/MIX,BROWN,Spayed,MED,A418124,08/06/2023,08/09/2023,3,CONFISCATE,FLD_ARREST,RETURN TO OWNER,OVER THE COUNTER_ARREST,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95401.0,"95401(38.44366, -122.7246163)",5
DOG,PIT BULL,BROWN,Neutered,LARGE,A302098,01/28/2014,09/06/2014,221,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95404.0,"95404(38.44511, -122.708)",13
DOG,CATAHOULA,BLACK/BROWN,Male,LARGE,A400921,10/13/2020,10/22/2020,9,STRAY,FIELD,RETURN TO OWNER,OVER THE COUNTER_PRVS,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95403.0,"95403(38.4716444, -122.7398255)",5
DOG,LABRADOR RETR/MIX,BLACK,Neutered,MED,A417270,05/05/2023,06/06/2023,32,STRAY,OVER THE COUNTER,ADOPTION,SCAS WEB,HEALTHY,HEALTHY,SANTA ROSA,COUNTY,95462.0,"95462(38.46819, -123.01142)",3
CAT,DOMESTIC SH,BRN TABBY/WHITE,Neutered,KITTN,A354193,06/21/2017,07/05/2017,14,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,*HEALDSBURG,95448.0,"95448(38.613965, -122.869825)",7
CAT,DOMESTIC MH,BRN TABBY/WHITE,Neutered,KITTN,A390895,08/24/2019,10/12/2019,49,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,UNKNOWN,HEALTHY,SANTA ROSA,*PETALUMA,94952.0,"94952(38.237, -122.640695)",5
CAT,DOMESTIC SH,LYNX PT,Male,KITTN,A375991,09/12/2018,09/12/2018,0,STRAY,OVER THE COUNTER,TRANSFER,HSSC,TREATABLE/REHAB,TREATABLE/REHAB,COUNTY,COUNTY,95407.0,"95407(38.4127094, -122.7412153)",6
DOG,GERM SHEPHERD,BLACK/TAN,Spayed,LARGE,A330648,12/27/2019,01/25/2020,29,STRAY,OVER THE COUNTER,ADOPTION,SCAS WEB,TREATABLE/MANAGEABLE,TREATABLE/MANAGEABLE,COUNTY,SANTA ROSA,95407.0,"95407(38.4127094, -122.7412153)",15
CAT,DOMESTIC SH,CALICO,Spayed,KITTN,A421322,10/18/2023,11/28/2023,41,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95404.0,"95404(38.44511, -122.708)",1
CAT,DOMESTIC SH,ORG TABBY/WHITE,Spayed,SMALL,A400840,10/07/2020,01/30/2021,115,STRAY,FIELD,ADOPTION,SCAS WEB,HEALTHY,HEALTHY,SANTA ROSA,COUNTY,95446.0,"95446(38.503755, -122.9935)",5
DOG,PIT BULL,FAWN/WHITE,Spayed,SMALL,A353278,06/22/2017,06/22/2017,0,ADOPTION RETURN,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,*WINDSOR,95492.0,"95492(38.541355, -122.80026)",7
DOG,LABRADOR RETR/MIX,BLACK,Spayed,SMALL,A309288,07/22/2014,08/09/2014,18,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,TREATABLE/REHAB,HEALTHY,SANTA ROSA,OUT OF COUNTY,95490.0,"95490(39.40686, -123.354005)",10
DOG,PIT BULL,BLUE/WHITE,Spayed,LARGE,A367983,03/13/2018,05/08/2018,56,ADOPTION RETURN,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,*WINDSOR,95492.0,"95492(38.541355, -122.80026)",7
DOG,POODLE MIN/MIX,WHITE,Male,SMALL,A205914,08/26/2016,08/27/2016,1,STRAY,FIELD,RETURN TO OWNER,OVER THE COUNTER_MCHIP,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95407.0,"95407(38.4127094, -122.7412153)",17
DOG,ENG COONHOUND/MIX,WHITE/TAN,Neutered,LARGE,A413247,09/13/2022,09/14/2022,1,STRAY,FIELD,RETURN TO OWNER,OVER THE COUNTER_PRVS,UNKNOWN,PENDING,COUNTY,COUNTY,95404.0,"95404(38.44511, -122.708)",6
DOG,PIT BULL,GRAY/WHITE,Neutered,LARGE,A324931,09/29/2016,09/29/2016,0,STRAY,FIELD,RETURN TO OWNER,FLD_MCHIP,HEALTHY,HEALTHY,*WINDSOR,*WINDSOR,95492.0,"95492(38.541355, -122.80026)",11
DOG,PIT BULL,BROWN/WHITE,Male,MED,A303101,02/21/2014,03/04/2014,11,QUARANTINE,FIELD_RETURN TO OWNER,RETURN TO OWNER,RETURN TO OWNER,UNKNOWN,HEALTHY,COUNTY,OUT OF COUNTY,95422.0,"95422(38.9560273, -122.6373628)",13
CAT,DOMESTIC SH,BRN TABBY/WHITE,Female,SMALL,A418594,06/24/2023,06/28/2023,4,STRAY,OVER THE COUNTER,TRANSFER,HSSC,UNKNOWN,TREATABLE/REHAB,SANTA ROSA,COUNTY,95407.0,"95407(38.4127094, -122.7412153)",3
DOG,BOXER/MIX,TAN/WHITE,Spayed,PUPPY,A419329,07/27/2023,08/29/2023,33,STRAY,OVER THE COUNTER,ADOPTION,SCAS WEB,TREATABLE/REHAB,HEALTHY,COUNTY,OUT OF COUNTY,94590.0,"94590(38.10996, -122.25301)",1
CAT,DOMESTIC SH,ORG TABBY,Neutered,SMALL,A257249,09/17/2016,10/04/2016,17,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,*WINDSOR,SANTA ROSA,95409.0,"95409(38.46382, -122.67058)",14
DOG,FRENCH BULLDOG,BLACK/TAN,Male,PUPPY,A405133,06/01/2021,10/01/2021,122,CONFISCATE,FLD_OWNED,RETURN TO OWNER,OVER THE COUNTER_WEB,UNKNOWN,PENDING,COUNTY,COUNTY,95407.0,"95407(38.4127094, -122.7412153)",3
DOG,PARSON RUSS TER/COCKER SPAN,BL BRINDLE/WHITE,Spayed,SMALL,A308275,03/30/2019,04/26/2019,27,STRAY,OVER THE COUNTER,TRANSFER,HSSC,UNKNOWN,PENDING,SANTA ROSA,COUNTY,95407.0,"95407(38.4127094, -122.7412153)",9
DOG,AMER BULLDOG,BROWN/WHITE,Neutered,LARGE,A309121,07/19/2014,07/19/2014,0,STRAY,FIELD,RETURN TO OWNER,FLD_MCHIP,HEALTHY,HEALTHY,COUNTY,*PETALUMA,94952.0,"94952(38.237, -122.640695)",12
DOG,CHIHUAHUA SH,BLACK/WHITE,Spayed,SMALL,A389533,07/18/2019,07/18/2019,0,STRAY,OVER THE COUNTER,RETURN TO OWNER,OVER THE COUNTER_CALL,UNKNOWN,PENDING,*WINDSOR,*WINDSOR,95492.0,"95492(38.541355, -122.80026)",18
DOG,POMERANIAN/MIX,TAN/WHITE,Neutered,SMALL,A407045,10/06/2021,10/06/2021,0,STRAY,FIELD,EUTHANIZE,ILL SEVERE,UNTREATABLE,UNTREATABLE,COUNTY,COUNTY,94931.0,"94931(38.3260186, -122.706422)",20
CAT,DOMESTIC SH,BLACK,Neutered,SMALL,A310206,08/15/2014,08/26/2014,11,STRAY,COMM CAT,TRANSFER,FORGOTTEN,HEALTHY,TREATABLE/MANAGEABLE,*WINDSOR,SANTA ROSA,95403.0,"95403(38.4716444, -122.7398255)",10
CAT,DOMESTIC SH,BRN TABBY/WHITE,Neutered,SMALL,A367698,01/24/2018,02/03/2018,10,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,UNKNOWN,HEALTHY,COUNTY,SANTA ROSA,95403.0,"95403(38.4716444, -122.7398255)",8
CAT,DOMESTIC MH,BRN TABBY/WHITE,Spayed,SMALL,A379783,11/14/2018,11/30/2018,16,STRAY,FIELD,ADOPTION,SCAS WEB,HEALTHY,HEALTHY,SANTA ROSA,*COTATI,94931.0,"94931(38.3260186, -122.706422)",7
DOG,PIT BULL/MIX,WHITE/BLUE,Neutered,MED,A303838,03/12/2014,03/12/2014,0,STRAY,FIELD,RETURN TO OWNER,RETURN TO OWNER_FIELD,UNKNOWN,HEALTHY,*WINDSOR,*WINDSOR,95492.0,"95492(38.541355, -122.80026)",12
CAT,DOMESTIC SH,BRN TABBY,Spayed,KITTN,A323020,06/17/2015,07/17/2015,30,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,*WINDSOR,95492.0,"95492(38.541355, -122.80026)",8
OTHER,HAVANA/MIX,BLACK,Male,SMALL,A339857,07/16/2016,07/22/2016,6,STRAY,OVER THE COUNTER,TRANSFER,SAVEABUNNY,HEALTHY,HEALTHY,*WINDSOR,OUT OF COUNTY,94941.0,"94941(37.901575, -122.54157)",13
DOG,YORKSHIRE TERR,BROWN/BLACK,Neutered,TOY,A332384,01/26/2016,01/27/2016,1,CONFISCATE,FLD_ARREST,RETURN TO OWNER,FLD_PRVS,HEALTHY,HEALTHY,SANTA ROSA,*ROHNERT PARK,94928.0,"94928(38.3499842, -122.6928413)",11
DOG,CHIHUAHUA SH,WHITE/BLACK,Spayed,TOY,A333417,02/27/2016,04/16/2016,49,STRAY,FIELD,ADOPTION,REFERRAL,HEALTHY,HEALTHY,SANTA ROSA,COUNTY,95472.0,"95472(38.4007555, -122.8277055)",11
DOG,PIT BULL,BLACK/WHITE,Neutered,LARGE,A324240,07/11/2015,10/16/2015,97,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,TREATABLE/MANAGEABLE,HEALTHY,SANTA ROSA,OUT OF COUNTY,95457.0,"95457(38.9148457, -122.5952259)",11
CAT,DOMESTIC MH,BLACK/WHITE,Neutered,KITTN,A374588,07/10/2018,07/18/2018,8,STRAY,OVER THE COUNTER,ADOPTION,SCAS WEB,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95409.0,"95409(38.46382, -122.67058)",6
DOG,PARSON RUSS TER/MIX,BROWN,Neutered,PUPPY,A334050,03/11/2016,04/23/2016,43,STRAY,FIELD,ADOPTION,REFERRAL,HEALTHY,HEALTHY,SANTA ROSA,OUT OF COUNTY,94118.0,"94118(37.78136, -122.458215)",8
DOG,PIT BULL/MIX,BR BRINDLE,Male,MED,A423128,12/12/2023,12/20/2023,8,CONFISCATE,FLD_ABAND,RETURN TO OWNER,OVER THE COUNTER_CALL,UNKNOWN,HEALTHY,SANTA ROSA,SANTA ROSA,95409.0,"95409(38.46382, -122.67058)",2
CAT,DOMESTIC SH,LYNX PT,Female,SMALL,A398421,07/01/2020,07/02/2020,1,STRAY,OVER THE COUNTER,TRANSFER,HSSC,TREATABLE/REHAB,TREATABLE/REHAB,COUNTY,COUNTY,95407.0,"95407(38.4127094, -122.7412153)",4
DOG,ROTTWEILER/MIX,BLACK/TAN,Male,LARGE,A343759,10/14/2016,11/16/2016,33,STRAY,FIELD,TRANSFER,WINE CNTRY,HEALTHY,HEALTHY,COUNTY,OUT OF COUNTY,94515.0,"94515(38.5818482, -122.5799026)",8
DOG,BEAGLE,TRICOLOR,Spayed,SMALL,A421042,10/09/2023,10/10/2023,1,STRAY,FLD_STRAY,RETURN TO OWNER,OVER THE COUNTER_WEB,UNKNOWN,PENDING,SANTA ROSA,*ROHNERT PARK,94928.0,"94928(38.3499842, -122.6928413)",15
OTHER,RABBIT LH,TAN,Spayed,SMALL,A386161,04/12/2019,05/22/2019,40,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,*CLOVERDALE,OUT OF COUNTY,95490.0,"95490(39.40686, -123.354005)",7
DOG,BOXER,FAWN/WHITE,Male,LARGE,A328118,10/08/2015,10/09/2015,1,STRAY,FIELD,RETURN TO OWNER,OVER THE COUNTER_MCHIP,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95401.0,"95401(38.44366, -122.7246163)",11
DOG,SIBERIAN HUSKY,WHITE,Neutered,LARGE,A287760,04/23/2021,04/23/2021,0,STRAY,FIELD,RETURN TO OWNER,OVER THE COUNTER_CALL,UNKNOWN,HEALTHY,COUNTY,COUNTY,95407.0,"95407(38.4127094, -122.7412153)",13
CAT,BENGAL/MIX,BRN TABBY,Neutered,SMALL,A417795,11/16/2023,12/24/2023,38,STRAY,FIELD,TRANSFER,DAWG,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95403.0,"95403(38.4716444, -122.7398255)",2
DOG,GERM SHEPHERD,BLACK/TAN,Male,LARGE,A372889,05/25/2018,05/25/2018,0,STRAY,OVER THE COUNTER,RETURN TO OWNER,OVER THE COUNTER_WEB,HEALTHY,HEALTHY,*WINDSOR,*WINDSOR,95492.0,"95492(38.541355, -122.80026)",7
CAT,DOMESTIC MH,BLACK/WHITE,Neutered,KITTN,A311178,09/04/2014,09/21/2014,17,STRAY,COMM CAT,ADOPTION,DEBBIE BTQ,HEALTHY,HEALTHY,COUNTY,*WINDSOR,95492.0,"95492(38.541355, -122.80026)",10
CAT,DOMESTIC SH,BRN TABBY/WHITE,Spayed,KITTN,A390289,08/09/2019,08/21/2019,12,OWNER SURRENDER,OVER THE COUNTER,RETURN TO OWNER,OVER THE COUNTER_WALKIN,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95407.0,"95407(38.4127094, -122.7412153)",5
CAT,DOMESTIC SH,GRAY TABBY/WHITE,Spayed,SMALL,A321057,04/24/2015,05/02/2015,8,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,OUT OF COUNTY,94945.0,"94945(38.1108723, -122.5692109)",11
CAT,DOMESTIC MH,BLACK/WHITE,Neutered,KITTN,A374791,07/17/2018,08/04/2018,18,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,WALKIN,UNKNOWN,HEALTHY,SANTA ROSA,*WINDSOR,95492.0,"95492(38.541355, -122.80026)",6
DOG,LABRADOR RETR,YELLOW,Neutered,LARGE,A256530,02/24/2015,02/24/2015,0,STRAY,FIELD,RETURN TO OWNER,OVER THE COUNTER_PRVS,HEALTHY,HEALTHY,SANTA ROSA,OUT OF COUNTY,95376.0,"95376(37.7397, -121.42962)",14
DOG,PIT BULL,BR BRINDLE/WHITE,Female,SMALL,A384593,02/27/2019,04/10/2019,42,STRAY,FIELD,TRANSFER,HSSC,HEALTHY,TREATABLE/REHAB,SANTA ROSA,COUNTY,95407.0,"95407(38.4127094, -122.7412153)",6
DOG,CHIHUAHUA SH/MIX,WHITE/TAN,Neutered,SMALL,A397853,06/11/2020,06/11/2020,0,STRAY,FIELD,RETURN TO OWNER,FLD_IDTAG,UNKNOWN,PENDING,SANTA ROSA,SANTA ROSA,95403.0,"95403(38.4716444, -122.7398255)",18
DOG,GERM SHEPHERD,BLACK,Neutered,LARGE,A338628,07/09/2016,07/09/2016,0,STRAY,FIELD,RETURN TO OWNER,FLD_MCHIP,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95401.0,"95401(38.44366, -122.7246163)",9
OTHER,LOP-ENGLISH/MIX,WHITE/BLACK,Neutered,SMALL,A340808,08/13/2016,09/21/2016,39,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95404.0,"95404(38.44511, -122.708)",10
DOG,BASENJI/MIX,WHITE/BROWN,Male,SMALL,A379977,11/16/2018,11/17/2018,1,CONFISCATE,FLD_ARREST,RETURN TO OWNER,OVER THE COUNTER_ARREST,UNKNOWN,PENDING,*TRIBAL RESV,SANTA ROSA,95407.0,"95407(38.4127094, -122.7412153)",11
DOG,PIT BULL,BLUE/WHITE,Spayed,MED,A333382,02/25/2016,02/27/2016,2,STRAY,FIELD,RETURN TO OWNER,OVER THE COUNTER_WEB,HEALTHY,HEALTHY,COUNTY,COUNTY,95441.0,"95441(38.70854, -122.90737)",10
DOG,PARSON RUSS TER/MIX,WHITE,Spayed,SMALL,A364015,11/13/2017,12/02/2017,19,STRAY,FIELD,ADOPTION,SCAS WEB,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95403.0,"95403(38.4716444, -122.7398255)",7
DOG,PIT BULL/MIX,BL BRINDLE/WHITE,Spayed,MED,A327324,09/23/2015,10/08/2015,15,STRAY,FIELD,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95405.0,"95405(38.443415, -122.69178)",12
DOG,PIT BULL,GRAY/WHITE,Neutered,LARGE,A409296,01/27/2022,04/07/2022,70,STRAY,FIELD,TRANSFER,HSTT,HEALTHY,HEALTHY,SANTA ROSA,OUT OF COUNTY,96161.0,"96161(39.32157, -120.16881)",3
CAT,DOMESTIC SH,ORG TABBY,Spayed,SMALL,A420226,11/01/2023,12/06/2023,35,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,WALKIN,UNKNOWN,HEALTHY,SANTA ROSA,SANTA ROSA,95403.0,"95403(38.4716444, -122.7398255)",3
CAT,DOMESTIC SH,GRAY/WHITE,Neutered,SMALL,A254054,07/22/2015,07/29/2015,7,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95401.0,"95401(38.44366, -122.7246163)",14
CAT,DOMESTIC SH,BRN TABBY,Male,KITTN,A388837,06/20/2019,06/20/2019,0,STRAY,OVER THE COUNTER,TRANSFER,FORGOTTEN,TREATABLE/REHAB,TREATABLE/REHAB,COUNTY,SANTA ROSA,95403.0,"95403(38.4716444, -122.7398255)",5
CAT,DOMESTIC MH,ORG TABBY,Neutered,MED,A414223,11/22/2022,12/29/2022,37,STRAY,FIELD,ADOPTION,WALKIN,TREATABLE/REHAB,TREATABLE/REHAB,COUNTY,*WINDSOR,95492.0,"95492(38.541355, -122.80026)",3
DOG,ALASKAN HUSKY/GERM SHEPHERD,TRICOLOR,Male,LARGE,A368089,02/13/2018,02/13/2018,0,STRAY,FIELD,RETURN TO OWNER,OVER THE COUNTER_NOTICE,HEALTHY,HEALTHY,COUNTY,SANTA ROSA,95407.0,"95407(38.4127094, -122.7412153)",8
CAT,SIAMESE,SEAL PT,Spayed,SMALL,A322373,05/23/2015,05/30/2015,7,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95404.0,"95404(38.44511, -122.708)",11
CAT,DOMESTIC SH,TORTIE,Female,SMALL,A391940,10/01/2019,10/04/2019,3,STRAY,OVER THE COUNTER,TRANSFER,HSSC,UNKNOWN,TREATABLE/REHAB,COUNTY,COUNTY,95407.0,"95407(38.4127094, -122.7412153)",7
DOG,GREAT DANE/MIX,BLACK/WHITE,Female,SMALL,A408670,01/03/2022,01/21/2022,18,STRAY,FIELD,TRANSFER,HSSC,UNKNOWN,HEALTHY,COUNTY,COUNTY,95407.0,"95407(38.4127094, -122.7412153)",3
DOG,GERM SHEPHERD/BELG MALINOIS,BLACK/TAN,Spayed,LARGE,A393604,02/01/2020,02/11/2020,10,QUARANTINE,FIELD_RETURN TO OWNER,RETURN TO OWNER,OVER THE COUNTER_LETTER,UNKNOWN,PENDING,SANTA ROSA,SANTA ROSA,95404.0,"95404(38.44511, -122.708)",7
CAT,DOMESTIC SH,ORG TABBY/WHITE,Neutered,SMALL,A331958,01/15/2016,02/11/2016,27,STRAY,FIELD,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,COUNTY,95403.0,"95403(38.4716444, -122.7398255)",9
CAT,DOMESTIC SH,BRN TABBY/WHITE,Neutered,SMALL,A422121,11/14/2023,12/15/2023,31,STRAY,OVER THE COUNTER,ADOPTION,SCAS WEB,HEALTHY,HEALTHY,SANTA ROSA,COUNTY,95404.0,"95404(38.44511, -122.708)",2
DOG,YORKSHIRE TERR,BROWN/BLACK,Neutered,SMALL,A372268,05/08/2018,06/12/2018,35,STRAY,FIELD,TRANSFER,DOGWOOD,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95403.0,"95403(38.4716444, -122.7398255)",11
OTHER,SHETLAND,BROWN/BLACK,Female,SMALL,A347037,01/01/2017,01/31/2017,30,CONFISCATE,FLD_CRUEL,TRANSFER,CHANGE PRG,TREATABLE/REHAB,TREATABLE/REHAB,COUNTY,COUNTY,95401.0,"95401(38.44366, -122.7246163)",12
DOG,MALTESE/MIX,WHITE,Neutered,SMALL,A317857,03/11/2015,03/28/2015,17,STRAY,FIELD,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,SANTA ROSA,95401.0,"95401(38.44366, -122.7246163)",13
CAT,DOMESTIC SH,BRN TABBY,Spayed,KITTN,A370793,04/12/2018,05/19/2018,37,STRAY,OVER THE COUNTER,ADOPTION,REFERRAL-O,TREATABLE/REHAB,HEALTHY,COUNTY,SANTA ROSA,95404.0,"95404(38.44511, -122.708)",6
DOG,PIT BULL,BLUE/WHITE,Neutered,LARGE,A305655,04/22/2014,04/22/2014,0,STRAY,FIELD,RETURN TO OWNER,RETURN TO OWNER_FIELD,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95404.0,"95404(38.44511, -122.708)",11
